isbn,title,authors,description,subjects,text,wiki_description
044021145X,The Firm,John Grisham,,"Certified Public Accountants, bar examinations, funerals, private investigators, FBI, white-collar crime, front organisations, crime families, tax evasion, money laundering, attorney–client privilege, probable cause, search warrants, RICO act, moles, Fiction, Organized crime, Government investigators, Law firms, Mafia, Mystery, Literature, Detective and mystery stories, Legal stories, Large type books, Fiction, legal, Fiction, thrillers, general, Fiction, action & adventure, Fiction, thrillers, Ermittlung, Politischer Mord, Anwaltspraxis, Fiction, thrillers, suspense, Law, Fiction, mystery & detective, general","The Firm John Grisham Certified Public Accountants, bar examinations, funerals, private investigators, FBI, white-collar crime, front organisations, crime families, tax evasion, money laundering, attorney–client privilege, probable cause, search warrants, RICO act, moles, Fiction, Organized crime, Government investigators, Law firms, Mafia, Mystery, Literature, Detective and mystery stories, Legal stories, Large type books, Fiction, legal, Fiction, thrillers, general, Fiction, action & adventure, Fiction, thrillers, Ermittlung, Politischer Mord, Anwaltspraxis, Fiction, thrillers, suspense, Law, Fiction, mystery & detective, general",A firm is a commercial partnership of two or more people.
0440211727,A Time to Kill,John Grisham,,"african american girls, attorney and client, capital murder, capital punishment, child sexual abuse, crime fiction, crimes against african american girls, detective and mystery fiction, detective and mystery stories, disbarment, district attorneys, fiction, homicide, investigation, ku klux clan, lawyers, legal fiction, legal stories, legal thriller, literature, m16 rifles, murder, murder trials, mystery & detective fiction, mystery fiction, pro bono publico, psychological fiction, race relations, revenge, suspense fiction, thriller, thrillers, trials (murder), vigilantes, white supremacy, Fiction, thrillers, Fiction, suspense, Mississippi, fiction, Fiction, legal, Crime, fiction, Fiction, psychological, Brigance, jake (fictitious character), fiction, Lawyers, fiction, Fiction, thrillers, general, Fiction, thrillers, suspense, Crimes against, Race discrimination, Filles noires américaines, Romans, nouvelles, Crimes contre, Procès (Meurtre), Vengeance, Discrimination raciale, Fiction, general","A Time to Kill John Grisham african american girls, attorney and client, capital murder, capital punishment, child sexual abuse, crime fiction, crimes against african american girls, detective and mystery fiction, detective and mystery stories, disbarment, district attorneys, fiction, homicide, investigation, ku klux clan, lawyers, legal fiction, legal stories, legal thriller, literature, m16 rifles, murder, murder trials, mystery & detective fiction, mystery fiction, pro bono publico, psychological fiction, race relations, revenge, suspense fiction, thriller, thrillers, trials (murder), vigilantes, white supremacy, Fiction, thrillers, Fiction, suspense, Mississippi, fiction, Fiction, legal, Crime, fiction, Fiction, psychological, Brigance, jake (fictitious character), fiction, Lawyers, fiction, Fiction, thrillers, general, Fiction, thrillers, suspense, Crimes against, Race discrimination, Filles noires américaines, Romans, nouvelles, Crimes contre, Procès (Meurtre), Vengeance, Discrimination raciale, Fiction, general",Time to Kill may refer to:
0440214041,The Pelican Brief,John Grisham,,"White House Chief of Staff, Central Intelligence Agency, law firms, legal briefs, Federal Bureau of Investigation, car bombs, The Washington Post, pelicans, environmentalism, legal-suspense thriller, Supreme Court Justices, liberalism, Fiction, Judges, Crimes against, Women law students, Assassination, Witnesses, United States, Journalists, United States. Supreme Court, Detective and mystery stories, Legal stories, Mystery, Literature, Ermittlung, Politischer Mord, Fiction, legal, Fiction, thrillers, general, Large type books, Literature and fiction, mystery and suspense, Journalists, fiction, Louisiana, fiction, Washington (d.c.), fiction, Fiction, mystery & detective, general, Dutch fiction, Spanish language materials, Novela, Mystery fiction, Umschulungswerkstätten für Siedler und Auswanderer, Fiction, general","The Pelican Brief John Grisham White House Chief of Staff, Central Intelligence Agency, law firms, legal briefs, Federal Bureau of Investigation, car bombs, The Washington Post, pelicans, environmentalism, legal-suspense thriller, Supreme Court Justices, liberalism, Fiction, Judges, Crimes against, Women law students, Assassination, Witnesses, United States, Journalists, United States. Supreme Court, Detective and mystery stories, Legal stories, Mystery, Literature, Ermittlung, Politischer Mord, Fiction, legal, Fiction, thrillers, general, Large type books, Literature and fiction, mystery and suspense, Journalists, fiction, Louisiana, fiction, Washington (d.c.), fiction, Fiction, mystery & detective, general, Dutch fiction, Spanish language materials, Novela, Mystery fiction, Umschulungswerkstätten für Siedler und Auswanderer, Fiction, general","The Pelican Brief is a legal-suspense thriller by John Grisham, published in 1992 by Doubleday. It is his third novel after A Time to Kill and The Firm. Two paperback editions were published, both by Dell Publishing in 1993."
0440220602,The Chamber,John Grisham,,"alcoholism, loyalty oaths, pardons, governors, trials, FBI, capital punishment, gas chambers, pro bono publico, law firms, legal fiction, thriller fiction, Mystery, Ligues des droits de l'homme, Literature, Condamnés à mort, Ku Klux Klan, Attentats à la bombe, Romans, nouvelles, Thriller, Ku Klux Klan (1915- ), Fiction, Civil rights movements, Bombings, Death row inmates, Legal stories, Ku Klux Klan (1915- ) -- Fiction., Bombings -- Mississippi -- Greenville -- Fiction., Death row inmates -- Mississippi -- Fiction., Civil rights movements -- Mississippi -- Fiction., Greenville (Miss.) -- Fiction., Fiction, legal, Novela, Bombardeos, Reclusos condenados a muerte, Derechos civiles, Movimientos, Mouvements des droits de l'homme, Hall, adam (fictitious character), fiction, Mississippi, fiction","The Chamber John Grisham alcoholism, loyalty oaths, pardons, governors, trials, FBI, capital punishment, gas chambers, pro bono publico, law firms, legal fiction, thriller fiction, Mystery, Ligues des droits de l'homme, Literature, Condamnés à mort, Ku Klux Klan, Attentats à la bombe, Romans, nouvelles, Thriller, Ku Klux Klan (1915- ), Fiction, Civil rights movements, Bombings, Death row inmates, Legal stories, Ku Klux Klan (1915- ) -- Fiction., Bombings -- Mississippi -- Greenville -- Fiction., Death row inmates -- Mississippi -- Fiction., Civil rights movements -- Mississippi -- Fiction., Greenville (Miss.) -- Fiction., Fiction, legal, Novela, Bombardeos, Reclusos condenados a muerte, Derechos civiles, Movimientos, Mouvements des droits de l'homme, Hall, adam (fictitious character), fiction, Mississippi, fiction",The Chamber may refer to:
0440222656,The Horse Whisperer,Nicholas Evans,,"Caballos, Curadores, Ficción, Fiction, Healers, Healers in fiction, Healing, Horses, Horses in fiction, Man-woman relationships, Man-woman relationships in fiction, Montana in fiction, Psychology, Relaciones hombre-mujer, Romance, Teenage girls, Traffic accident victims, Domestic fiction, English fiction, Montana, fiction, Man-woman relationships, fiction, Fiction, family life, Large type books, Fiction, family life, general, Romans, Chevaux, German text, Oberschicht, Familie, Tochter, Reitunfall, Pferd, Neurose, Belletristische Darstellung, Internet Archive Wishlist, Curanderos, Novela","The Horse Whisperer Nicholas Evans Caballos, Curadores, Ficción, Fiction, Healers, Healers in fiction, Healing, Horses, Horses in fiction, Man-woman relationships, Man-woman relationships in fiction, Montana in fiction, Psychology, Relaciones hombre-mujer, Romance, Teenage girls, Traffic accident victims, Domestic fiction, English fiction, Montana, fiction, Man-woman relationships, fiction, Fiction, family life, Large type books, Fiction, family life, general, Romans, Chevaux, German text, Oberschicht, Familie, Tochter, Reitunfall, Pferd, Neurose, Belletristische Darstellung, Internet Archive Wishlist, Curanderos, Novela",The Horse Whisperer may refer to a number of articles
0440225701,THE STREET LAWYER.,John Grisham,,"Fiction, Legal stories, Lawyers, Literature, Mystery, Washington (D.C.), Washington (D.C.) -- Fiction, Homeless persons, Homeless men Washington (D.C.) Fiction, Legal assistance to the poor Washington (D.C.) Fiction, Washington (D.C.) Fiction, Law firms Washington (D.C.) Fiction, Lawyers Corrupt practices Fiction, Lawyers Washington (D.C.) Fiction, Roman américain, Fiction, suspense, Fiction, thrillers, general, Large type books, Political correctness, Hostages, Legal, Thrillers, Suspense, Criminal investigation, Washington (d.c.), fiction, Fiction, legal, Fiction, thrillers, suspense, Novela, Abogados, American Legal stories, Translations into German, Politiquement correct (Mouvement), Généalogie (Philosophie)","THE STREET LAWYER. John Grisham Fiction, Legal stories, Lawyers, Literature, Mystery, Washington (D.C.), Washington (D.C.) -- Fiction, Homeless persons, Homeless men Washington (D.C.) Fiction, Legal assistance to the poor Washington (D.C.) Fiction, Washington (D.C.) Fiction, Law firms Washington (D.C.) Fiction, Lawyers Corrupt practices Fiction, Lawyers Washington (D.C.) Fiction, Roman américain, Fiction, suspense, Fiction, thrillers, general, Large type books, Political correctness, Hostages, Legal, Thrillers, Suspense, Criminal investigation, Washington (d.c.), fiction, Fiction, legal, Fiction, thrillers, suspense, Novela, Abogados, American Legal stories, Translations into German, Politiquement correct (Mouvement), Généalogie (Philosophie)",
0440226430,Summer sisters,Judy Blume,,"Fiction, coming of age, Martha's vineyard (mass.), fiction, Friendship, fiction, Young women, fiction, Female friendship, Fiction, Interpersonal relations, Young women","Summer sisters Judy Blume Fiction, coming of age, Martha's vineyard (mass.), fiction, Friendship, fiction, Young women, fiction, Female friendship, Fiction, Interpersonal relations, Young women",
044023722X,A Painted House,John Grisham,,"Boys, Cotton farmers, Migrant labor, Nineteen fifties, Farm life, Fiction, Large type books, Rural families, Arkansas, fiction, Fiction, historical, New York Times reviewed, American fiction, Bildungsromans, Fiction, historical, general, Fiction, thrillers, suspense, Muchachos, Ficción, Vida agrícola, Familias rurales, Granjeros de algodón, Domestic fiction, Cotton growing, Tenant farmers, Mexican American migrant agricultural laborers, Migrant agricultural laborers, Baseball stories, Children's secrets","A Painted House John Grisham Boys, Cotton farmers, Migrant labor, Nineteen fifties, Farm life, Fiction, Large type books, Rural families, Arkansas, fiction, Fiction, historical, New York Times reviewed, American fiction, Bildungsromans, Fiction, historical, general, Fiction, thrillers, suspense, Muchachos, Ficción, Vida agrícola, Familias rurales, Granjeros de algodón, Domestic fiction, Cotton growing, Tenant farmers, Mexican American migrant agricultural laborers, Migrant agricultural laborers, Baseball stories, Children's secrets","A Painted House is a 2001 novel by American author John Grisham.
Inspired by his childhood in Arkansas, it is Grisham's first major work outside the legal thriller genre in which he established himself. Initially published in serial form, the book was released in six installments in The Oxford American magazine."
0446310786,To Kill a Mockingbird,Harper Lee,,"fiction, fiction classics, contemporary fiction, racial segregation, mob mentality, Southern Gothic, southern life, racial injustice, class, courage, compassion, gender roles, laws, loss of innocence, rape trials, domestic fiction, legal stories, Bildungsromans, Race relations, Lawyers, Girls, Prejudices, Fathers and daughters, Trials (Rape), Great Depression, African Americans, Father-daughter relationship,, Toleranz, Kind, American fiction (fictional works by one author), Fiction, coming of age, Fiction, family life, Fiction, legal, Fathers and daughters, fiction, Southern states, fiction, Lawyers, fiction, African americans, fiction, Social life and customs, Manners and customs, Padres e hijas, Novela, Relaciones raciales, Procesos por violación, Spanish language materials, Father-daughter relationship, New York Times reviewed, American literature, Fiction, family life, general, Large type books, Muchachas, Ficción, Relations raciales, Romans, nouvelles, Procès (Viol), Filles, Classics, Literary, American fiction, Estados del Sur (Estados Unidos), Juvenile fiction, Families, Fiction, general, Long Now Manual for Civilization, Fictional Works [Publication Type], Rape","To Kill a Mockingbird Harper Lee fiction, fiction classics, contemporary fiction, racial segregation, mob mentality, Southern Gothic, southern life, racial injustice, class, courage, compassion, gender roles, laws, loss of innocence, rape trials, domestic fiction, legal stories, Bildungsromans, Race relations, Lawyers, Girls, Prejudices, Fathers and daughters, Trials (Rape), Great Depression, African Americans, Father-daughter relationship,, Toleranz, Kind, American fiction (fictional works by one author), Fiction, coming of age, Fiction, family life, Fiction, legal, Fathers and daughters, fiction, Southern states, fiction, Lawyers, fiction, African americans, fiction, Social life and customs, Manners and customs, Padres e hijas, Novela, Relaciones raciales, Procesos por violación, Spanish language materials, Father-daughter relationship, New York Times reviewed, American literature, Fiction, family life, general, Large type books, Muchachas, Ficción, Relations raciales, Romans, nouvelles, Procès (Viol), Filles, Classics, Literary, American fiction, Estados del Sur (Estados Unidos), Juvenile fiction, Families, Fiction, general, Long Now Manual for Civilization, Fictional Works [Publication Type], Rape","To Kill a Mockingbird is a 1960 Southern Gothic novel by American author Harper Lee. It became instantly successful after its release; in the United States, it is widely read in high schools and middle schools. To Kill a Mockingbird won the Pulitzer Prize a year after its release, and it has become a classic of modern American literature."
0446343455,Tourist season,Carl Hiaasen,,"Private investigators, Tourism, Fiction, Large type books, Florida, fiction, Fiction, mystery & detective, general, Private investigators, fiction, Miami (fla.), fiction, Keyes, brian (fictitious character), fiction, Fiction, mystery & detective, hard-boiled, Détectives, Romans, nouvelles","Tourist season Carl Hiaasen Private investigators, Tourism, Fiction, Large type books, Florida, fiction, Fiction, mystery & detective, general, Private investigators, fiction, Miami (fla.), fiction, Keyes, brian (fictitious character), fiction, Fiction, mystery & detective, hard-boiled, Détectives, Romans, nouvelles",Tourist season may refer to:
0446364193,Along came a spider,James Patterson,,"Fiction, Police, Secret service, Private schools, Alex Cross (Fictitious character), Police psychologists, African American police, Psychological fiction, Mystery, Kidnapping, Cross, alex (fictitious character), fiction, Washington (d.c.), fiction, Fiction, mystery & detective, police procedural, Fiction, psychological, African americans, fiction, Fiction, thrillers, general, Fiction, suspense, American literature, Fiction, thrillers, suspense, collectionid:ac, Roman policier","Along came a spider James Patterson Fiction, Police, Secret service, Private schools, Alex Cross (Fictitious character), Police psychologists, African American police, Psychological fiction, Mystery, Kidnapping, Cross, alex (fictitious character), fiction, Washington (d.c.), fiction, Fiction, mystery & detective, police procedural, Fiction, psychological, African americans, fiction, Fiction, thrillers, general, Fiction, suspense, American literature, Fiction, thrillers, suspense, collectionid:ac, Roman policier","""Along came a spider"" is a line from ""Little Miss Muffet""."
044651652X,The bridges of Madison County,"Robert James Waller, Robert James Waller",,"Fiction, Bridges, Photographers, Pastoral fiction, Love stories, Photographers -- Fiction, Bridges -- Iowa -- Fiction, Madison County (Iowa) -- Fiction, Iowa, Madison County (Iowa), Large type books, Iowa, fiction, Fiction, general","The bridges of Madison County Robert James Waller, Robert James Waller Fiction, Bridges, Photographers, Pastoral fiction, Love stories, Photographers -- Fiction, Bridges -- Iowa -- Fiction, Madison County (Iowa) -- Fiction, Iowa, Madison County (Iowa), Large type books, Iowa, fiction, Fiction, general",
