ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0380975343,All I Need Is You,"The head strong child of Chandos Straton and Courtney Harte, Casey Straton inherited her mother's eyes and her father's stubborn temperament. Despite her unladylike prowess at roping, riding and shooting, the responsibility of running her late grandfather's ranch was given to Casey's older brother. She's a beautiful young woman of marrying age, Chandos tells his daughter, and she should be looking to settle down--which only infuriates Casey, sending the high-spirited hellion storming away from her Texas home, determined to prove to her family that she can do much more than ""woman's work."" Damian Rutledge III has left his home far behind as well. A successful New York businessman, he used important connections to gain a U.S. Deputy's badge. And now he has come west to kill the man who murdered his father. But despite his powerful physique and unwavering courage, the handsome Eastern ""dude"" is like a fish out of water in the untamed and unpredictable country. And his inability to handle a shooting iron would have cost him his life at the hands of two desperate outlaws if it weren't for the timely intervention of a half-pint bounty hunter called ""Kid""--a youngster whose cool head and lightning-fast draw Damian quickly decides will be valuable assets in his hunt for his father's killer. But there is more to Kid than first meets the eye. For beneath a large hat and dusty poncho, and behind two blazing six-guns, is a stunningly sensuous young lady: Casey Straton. And despite Casey's resolve to maintain her disguise at all costs, the nearness of this proud, fearless and undeniably masculine gentleman has awakened the fires of her womanly passions and touched her vulnerable, aching heart--which could lead to serious complications on a rocky trail that winds dangerous duty to irrepressible love. The head strong child of Chandos Straton and Courtney Harte, Casey Straton inherited her mother's eyes and her father's stubborn temperament. Despite her unladylike prowess at roping, riding and shooting, the responsibility of running her late grandfather's ranch was given to Casey's older brother. She's a beautiful young woman of marrying age, Chandos tells his daughter, and she should be looking to settle down--which only infuriates Casey, sending the high-spirited hellion storming away from her Texas home, determined to prove to her family that she can do much more than ""woman's work."" Damian Rutledge III has left his home far behind as well. A successful New York businessman, he used important connections to gain a U.S. Deputy's badge. And now he has come west to kill the man who murdered his father. But despite his powerful physique and unwavering courage, the handsome Eastern ""dude"" is like a fish out of water in the untamed and unpredictable country. And his inability to handle a shooting iron would have cost him his life at the hands of two desperate outlaws if it weren't for the timely intervention of a half-pint bounty hunter called ""Kid""--a youngster whose cool head and lightning-fast draw Damian quickly decides will be valuable assets in his hunt for his father's killer. But there is more to Kid than first meets the eye. For beneath a large hat and dusty poncho, and behind two blazing six-guns, is a stunningly sensuous young lady: Casey Straton. And despite Casey's resolve to maintain her disguise at all costs, the nearness of this proud, fearless and undeniably masculine gentleman has awakened the fires of her womanly passions and touched her vulnerable, aching heart--which could lead to serious complications on a rocky trail that winds dangerous duty to irrepressible love.",Johanna Lindsey,1997-12-01,William Morrow,400.0,Fiction
0446605484,,,,,,,
0804111421,The Way Through the Woods,"""Cunning...Your imagination will be frenetically flapping its wings until the very last chapter."" THE WASHINGTON POST BOOK WORLD Morse is enjoying a rare if unsatisfying holiday in Dorset when the first letter appears in THE TIMES. A year before, a stunning Swedish student disappeared from Oxfordshire, leaving behind a rucksack with her identification. As the lady was dishy, young, and traveling alone, the Thames Valley Police suspected foul play. But without a body, and with precious few clues, the investigation ground to a halt. Now it seems that someone who can hold back no longer is composing clue-laden poetry that begins an enthusiastic correspondence among England's news-reading public. Not one to be left behind, Morse writes a letter of his own--and follows a twisting path through the Wytham Woods that leads to a most shocking murder.",Colin Dexter,1994-03-02,Fawcett,340.0,Fiction
0590483501,My Hairiest Adventure,"When Larry and his friends find an old bottle of Insta-Tan, they decide to use it. Instead of getting a tan, Larry starts growing hair all over his body.",R. L. Stine,1994,Scholastic,148.0,Juvenile Fiction
0425097722,Fatherhood,"From one of America's most beloved funnymen comes a hilarious look at the lighter side of fatherhood. So, what is fatherhood...' It's pretending the present you love most is soap-on-a-rope. It's helping your children learn English as a second language. It's asking your son to make up a name rather than tell anyone who he is. It's knowing that ""Everything's okay, Dad!"" means ""I haven't killed anyone!"" It's the book every father will love. It's Bill Cosby at his wittiest, wisest, and warmest. ""Bill Cosby makes fatherhood come alive. He takes us on a comedic yet insightful journey through the awesome shifting sands of parenthood. Though this volume is titled Fatherhood, its effect will be to strengthen the entire family."" --from the afterword by Alvin F. Poussaint, M.D.",Bill Cosby,1987,Berkley,144.0,Biography & Autobiography
0553256092,Princess Daisy,"“With unfailing panache and a style that swoops from crisply cynical to downright voluptuous, Princess Daisy is a guaranteed winner.”—Cosmopolitan She was born Princess Marguerite Alexandrovna Valensky. But everyone called her Daisy. She was a blonde beauty living in a world of aristocrats and countless wealthy. Her father was a prince, a Russian nobleman. Her mother was an American movie goddess. Men desired her. Women envied her. Daisy's life was a fairy tale filled with parties and balls, priceless jewels, money and love. Then, suddenly, the fairy tale ended. And Princess Daisy had to start again, with nothing—except the secret she guarded from the day she was born. Praise for Princess Daisy “This page-turner is a champion.”—People “Judith Krantz has written the glamour novel of the year if not of the decade. Princess Daisy has the same storytelling assets as Scruples, only more of them. Glamour, glamour is everywhere.”—John Barkham Reviews “A positively gorgeous reading experience.”—Shirley Eder, Detroit Free Press “Princess Daisy soars to the heights of escapist entertainment. . . . It is delicious.”—Jill Gerson, Philadelphia Inquirer “In true saga style, this blockbuster weaves its spell across an international landscape. A breathless spin of romance.”—Kitty Kelley, Hollywood Reporter “Elegantly written, with verve and panache . . . a glamorous, extremely adult Cinderella story to delight millions of readers who relish nonstop entertainment. Rollicking wit, high drama, haute couture, and a fascinating cast of characters, who gallop from one sumptuous setting to the next.”—Ft. Worth Chronicle",Judith Krantz,1984-11-01,Bantam,513.0,Fiction
0345272463,Dinosaur Planet Survivors,Kai and Varian awoke from their forty years of coldsleep only to discover that mutineers had taken over Ireta. But they were determined to save their planet and its unusual dinosaurs. All they had to do was solve the planet's myriad mysteries and gain the trust of the most dangerous beings in their Universe....,Anne McCaffrey,1984,Del Rey,0.0,Fiction
0515101486,Special Operations,"In this exciting new series, W.E.B. Griffin reveals a city police force with all the authentic detail and drama that made THE CORPS and BROTHERHOOD OF WAR phenomenal bestsellers. Here is an explosive novel of the men and women behind the badge--a unique brotherhood of courage, loyalty, and trust. Facing a desperate public, a hostile press, and reluctant witnesses, they must stop a new reign of violence--a terrifying spree of kidnapping and rape that has plunged the entire city in fear...",W.E.B. Griffin,1989-10-01,Penguin,370.0,Fiction
0375708278,Isaac's Storm,"NEW YORK TIMES BESTSELLER • The riveting true story of the Galveston hurricane of 1900, still the deadliest natural disaster in American history—from the acclaimed author of The Devil in the White City “A gripping account ... fascinating to its core, and all the more compelling for being true.” —The New York Times Book Review September 8, 1900, began innocently in the seaside town of Galveston, Texas. Even Isaac Cline, resident meteorologist for the U.S. Weather Bureau failed to grasp the true meaning of the strange deep-sea swells and peculiar winds that greeted the city that morning. Mere hours later, Galveston found itself submerged in a monster hurricane that completely destroyed the town and killed over six thousand people—and Isaac Cline found himself the victim of a devastating personal tragedy. Using Cline's own telegrams, letters, and reports, the testimony of scores of survivors, and our latest understanding of the science of hurricanes, Erik Larson builds a chronicle of one man's heroic struggle and fatal miscalculation in the face of a storm of unimaginable magnitude.",Erik Larson,2000-07-11,Vintage,338.0,History
1582341338,Typhoid Mary,"Recounts the story of Mary Mallon, an immigrant cook considered responsible for the 1904 outbreak of typhoid fever in Oyster Bay, Long Island, and describes her attempts to escape capture and institutionalization.",Anthony Bourdain,2001-05-04,Bloomsbury Publishing USA,161.0,Medical
0449227847,Twist of Fate,"Jules Hartwick is president of the bank, but he's also under investigation by the Federal Reserve, and then he receives the silver locket.",John Saul,1997,Fawcett,100.0,Fiction
0892550147,Bread Givers,"This masterwork of American immigrant literature is set in the 1920s on the Lower East Side of Manhattan and tells the story of Sara Smolinsky, the youngest daughter of an Orthodox rabbi, who rebels against her father's rigid conception of Jewish womanhood. Sarah's struggle towards independence and self-fulfillment resonates with a passion all can share. Beautifully redesigned page for page with the previous editions, Bread Givers is an essential historical work with enduring relevance.",Anzia Yezierska,1975,,328.0,Fiction
0373708041,Ride a Painted Pony,"Ride A Painted Pony by Carolyn McSparren released on Jul 25, 1998 is available now for purchase.",Carolyn McSparren,1998,Harlequin Books,308.0,Fiction
1551666170,Lord of the Desert,Gretchen Brannon unexpectedly finds herself working as personal assistant to a handsome and formidable sheikh.,Diana Palmer,2000,MIRA,390.0,Fiction
0812531108,Race Against Time,"A fast paced, exciting adventure as a young man discovers that he is a part of an elaborate charade to recreate a specific time and place in history.",Piers Anthony,1985,Tor Books,256.0,Science fiction
0553561359,Lovers,"Lovers is pure Krantz, an intoxicating dance of love lost, stolen, and found among women and men who lure each other with potent combinations of money, talent, ambition, and passion. Chief among them is irresistible Gigi Orsini, the high-spirited, merry, adventurous creature who grew up into enchanting womanhood in Scruples Two. Now Gigi is working as a copywriter in a new Los Angeles advertising agency, with her creative ""teammate,"" David Melville, a brilliant young art director who joins her in seeking new accounts. The agency is headed by dashing Archie Rourke, humorous Byron Bernheim and the severely difficult beauty, Victoria Frost, daughter of the famed Millicent Frost Caldwell who, with her husband Angus Caldwell, owns one of New York's largest advertising agencies. Ben Winthrop, a proper Bostonian and an enormously successful mall builder, attempts to capture Gigi's quicksilver affections, although his fierce contenders for the same prize include both David Melville and the dominating film director, Zach Nevsky. Meanwhile, Billy Winthrop Ikehorn Orsini Elliott, the unforgettably impulsive heroine of Scruples, and her new husband, the great charmer, Spider Elliott, are busy with their own fascinating lives, as are Gigi's father, canny film producer Vito Orsini, and her best friend, the ravishing Sasha Nevsky, none of whom can be forgotten from Scruples and Scruples Two. Lovers completes all the stories set in motion in the first two novels, yet it stands entirely on its own as a slice of life in the exciting years of 1983 and 1984.",Judith Krantz,1995-01-01,Bantam,546.0,Fiction
0440241537,The King of Torts,The author presents his latest novel of courtroom and legal suspense.,John Grisham,2003,Dell,482.0,Fiction
0836218256,Something Under the Bed Is Drooling,Another collection of Calvin and Hobbes comics.,Bill Watterson,1988,Andrews McMeel Publishing,132.0,Comics & Graphic Novels
0452282829,We Were the Mulvaneys,"An Oprah Book Club® selection A New York Times Notable Book The Mulvaneys are blessed by all that makes life sweet. But something happens on Valentine’s Day, 1976—an incident that is hushed up in the town and never spoken of in the Mulvaney home—that rends the fabric of their family life...with tragic consequences. Years later, the youngest son attempts to piece together the fragments of the Mulvaneys’ former glory, seeking to uncover and understand the secret violation that brought about the family’s tragic downfall. Profoundly cathartic, this extraordinary novel unfolds as if Oates, in plumbing the darkness of the human spirit, has come upon a source of light at its core. Moving away from the dark tone of her more recent masterpieces, Joyce Carol Oates turns the tale of a family struggling to cope with its fall from grace into a deeply moving and unforgettable account of the vigor of hope and the power of love to prevail over suffering. “It’s the novel closest to my heart....I’m deeply moved that Oprah Winfrey has selected this novel for Oprah’s Book Club, a family novel presented to Oprah’s vast American family.”—Joyce Carol Oates",Joyce Carol Oates,2001-01-24,Penguin,468.0,Fiction
0345347951,Childhood's End,"Without warning, giant silver ships from deep space appear in the skies above every major city on Earth. Manned by the Overlords, in fifty years, they eliminate ignorance, disease, and poverty. Then this golden age ends--and then the age of Mankind begins....",Arthur C. Clarke,1987-05-12,Del Rey,226.0,Fiction
1551664348,Montana,"When her grandfather asks her to move back home, Molly figures it will be good for her and her two sons to escape the big-city influences that have threatened to tear the small family apart. But warm memories of a sprawling ranch don't quite match the reality: Molly's grandfather is quite ill, the place is rundown and there is a stranger running things. Although Molly can't deny her attraction to the ruggedly handsome Sam Dakota, she can't bring herself to trust him--especially with her grandfather pushing them into marriage.",Debbie Macomber,1998-02-22,MIRA,388.0,Fiction
0671741039,Swan Song,"An ancient evil roams the desolate landscape of an America ravaged by nuclear war. He is the Man with the Scarlet Eye, a malevolent force that feeds on the dark desires of the countless followers he has gathered into his service. His only desire is to find a special child named Swan -- and destroy her. But those who would protect the girl are determined to fight for what is left of the worldŠand their souls. In a wasteland born of rage, populated by monstrous creatures and marauding armies, the last survivors on earth have been drawn into the final battle between good and evil that will decide the fate of humanity....",Robert McCammon,1987-06-01,Pocket Books,964.0,Fiction
0553582135,Final Target,"The President’s daughter... The women determined to save her... The man with the power to betray a nation... Melissa Riley arrives at her sister’s isolated Virginia country home to find herself plunged into a deadly drama. There the renowned Dr. Jessica Riley is attempting to draw the daughter of the President of the United States out of a severe catatonic trauma. The last thing young Cassie Andreas saw was an organized team ruthlessly murder her nanny and the Secret Service agents sworn to protect her. But to free Cassie, Melissa and Jessica must trust a mysterious, charismatic man. Michael Travis made his fortune in the international underworld. He risked everything to save Cassie during that terrible night of bloodshed. And he has entered into a secret bargain with the President. But is his show of concern all a treacherous charade? Melissa and Jessica have no choice but to accept Travis as their ally—and to follow a dangerous plan that will lead them into the world of a killer who’ll destroy anyone standing between him and the...Final Target.",Iris Johansen,2002-02-26,Bantam,418.0,Fiction
0373790465,One-Night Man,"One-Night Man by Jeanie London released on May 25, 2002 is available now for purchase.",Jeanie London,2002,Harlequin Books,260.0,Fiction
0525946896,Hornet Flight,"In June 1944, with the war not going well for the British, the lives of three people on both sides of the English Channel intertwine as one of them makes a discovery that could change the course of the war.",Ken Follett,2002,Dutton Books,440.0,Fiction
1573227889,Tipping the Velvet,"“Erotic and absorbing…Written with startling power.”—The New York Times Book Review Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraordinaire treading the boards in Canterbury. Through a friend at the box office, Nan manages to visit all her shows and finally meet her heroine. Soon after, she becomes Kitty's dresser and the two head for the bright lights of Leicester Square where they begin a glittering career as music-hall stars in an all-singing and dancing double act. At the same time, behind closed doors, they admit their attraction to each other and their affair begins.",Sarah Waters,2000-05-01,Penguin,484.0,Fiction
0836220676,,,,,,,
0749324740,Lucy Sullivan is Getting Married,"What happens when a psychic tells Lucy that she'll be married within the year? Her flatmates panic What is going to happen to their blissful existence of eating take-out, drinking too much wine, bringing men home, and never vacuuming? Lucy reassures her friends that she's far too busy arguing with her mother and taking care of her irresponsible father to get married. And then there's the small matter of not even having a boyfriend. But then Lucy meets gorgeous, unreliable Gus. Could he be the future Mr Lucy Sullivan? Or could it be handsome Chuck? Or Daniel, the world's biggest flirt? Or even cute Jed, the new guy at work? But will she find her soulmate?",Marian Keyes,1997,Random House (UK),740.0,Female friendship
0374413312,Comet in Moominland,"When Moomintroll learns that a comet will be passing by, he and his friend Sniff travel to the Observatory on the Lonely Mountains to consult the Professors. Along the way, they have many adventures, but the greatest adventure of all awaits them when they learn that the comet is headed straight for their beloved Moominvalley.",Tove Jansson,1991-09-01,"Farrar, Straus and Giroux (BYR)",192.0,Juvenile Fiction
0449910644,Spontaneous Healing,"""Memorable...Dr. Weil makes his case carefully and clearly."" --The New York Times Book Review #1 NEW YORK TIMES BESTSELLER ""This book is destined to become a classic."" --Joan Borysenko, author of Minding the Body, Mending the Mind Drawing on fascinating case histories from his own practice as well as medical techniques he has observed in his travels around the world, Dr. Weil shows how the mechanisms of self-diagnosis and self-regeneration have worked to resolve life-threatening diseases, severe trauma, and chronic pain. But spontaneous healing is also the essential element in the maintenance of our basic daily health. The book outlines an eight-week program that each of us can use to alter our diet, avoid environmental toxins, and reduce stress in order to enhance our innate healing powers. The best medicine does not merely combat germs or suppress symptoms, but rather works hand in hand with the body's natural defenses to manage illness. Building on this fundamental truth and tapping into the intricate interaction of mind and body, Dr. Weil arrives at a major new synthesis of conventional and alternative medical treatments. At once practical and inspirational, Spontaneous Healing gives each one of us the power and the wisdom to draw on the sources of health we hold within.","Andrew Weil, M.D.",1996-04-23,Ballantine Books,322.0,Health & Fitness
044809505X,Nancy Drew Mystery Stories,"Nancy arrives in Phoenix, Arizona, eagerly looking forward to a fun-filled vacation at Shadow Ranch, but abruptly finds herself involved in a baffling mystery. The ranch is being haunted by a phantom horse and maliciously damaged by an unknown enemy.",Carolyn Keene,1965,,202.0,Ranches
0061032042,Rebecca's Tale,"Twenty years after Rebecca's death, family friend Colonel Julyan asks his daughter and a mysterious scholar to reconsider her death in light of newly discovered diaries.",Sally Beauman,2002-07-30,Harper Collins,524.0,Fiction
0375726403,Empire Falls,"NATIONAL BESTSELLER • PULITZER PRIZE WINNER • The bestselling author of Nobody's Fool and Straight Man delves deep into the blue-collar heart of America in a work that overflows with hilarity, heartache, and grace. “Rich, humorous ... Mr. Russo’s most seductive book thus far.” —The New York Times Welcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo. Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him his college education and much of his self-respect. What keeps him there? It could be his bright, sensitive daughter Tick, who needs all his help surviving the local high school. Or maybe it’s Janine, Miles’ soon-to-be ex-wife, who’s taken up with a noxiously vain health-club proprietor. Or perhaps it’s the imperious Francine Whiting, who owns everything in town–and seems to believe that “everything” includes Miles himself. Look for Richard Russo's new book, Somebody's Fool, coming soon.",Richard Russo,2002-04-12,Vintage,497.0,Fiction
0440237262,The Program,"They promised you’d be safe. They were wrong. It started with a convicted killer’s first threat of revenge... “For every precious thing I lose, you lose two.” DA Kirsten Lord saw her husband gunned down before her eyes. Now Kirsten is living in fear, telling her secrets to psychologist Alan Gregory ... and hiding deep in the Witness Protection Program,where every stranger is a threat, every phone call is a menace. Until she realizes ... The Program is the deadliest place of all.",Stephen White,2002-01-02,Dell,482.0,Fiction
0380973820,From the Dust Returned,"Ray Bradbury, America's most beloved storyteller, has spent a lifetime carrying readers to exhilarating and dangerous places, from dark street comers in unfamiliar cities and towns to the edge of the universe. Now, in an extraordinary flight of the imagination a half-century in the making, he takes us to a most wondrous destination: into the heart of an Eternal Family They have lived for centuries in a house of legend and mystery in upper Illinois -- and they are not like other midwesterners. Rarely encountered in daylight hours, their children are curious and wild; their old ones have survived since before the Sphinx first sank its paws deep in Egyptian sands. And some sleep in beds with lids. Now the house is being readied in anticipation of the gala homecoming that will gather together the farflung branches of this odd and remarkable family. In the past-midnight stillness can be detected the soft fluttering of Uncle Einars wings. From her realm of sleep, Cecy, the fairest and most special daughter, can feel the approach of many a welcome being -- shapeshifter, telepath, somnambulist, vampire -- as she flies high in the consciousness of bird and bat. But in the midst of eager anticipation, a sense of doom pervades. For the world is changing. And death, no stranger, will always shadow this most singular family: Father, arisen from the Earth; Mother, who never sleeps but dreams; A Thousand Times Great Grandmére; Grandfather, who keeps the wildness of youth between his ears. And the boy who, more than anyone, carries the burden of time on his shoulders: Timothy, the sad and different foundling son who must share it all, remember, and tell...and who, alone out of all of them, must one day age and wither and die. By turns lyrical, wistful, poignant, and chilling, From the Dust Returned is the long-awaited new novel by the peerless Ray Bradbury -- a book that will surely be numbered among his most enduring masterworks.",Ray Bradbury,2001-10-02,William Morrow,224.0,Fiction
0752837168,Void Moon,"A young woman finds herself caught up in a scam which may cost her the one thing she values more than her life... Cassie Black has been lured back to the criminal profession she gave up - robbing gamblers of their winnings - by a proposition that is just too good to miss. The job goes as planned, except that the target has too much money. It can only mean someone very powerful is going to be very angry indeed. Cassie finds herself on the run from a killer who seems to know her every move in advance. Worse still, he is closing in on the one thing Cassie will do anything to protect.",Michael Connelly,2000,,407.0,Antiheroes
0385182449,Pet Sematary,"""""Sometimes dead is better...."""" When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat. But the nearby woods hide a blood-chilling truth -- more terrifying than death itself...and hideously more powerful.",Stephen King,1983,,390.0,Fiction
0802150616,A Personal Matter,"First pub. 1964. Author's most dramatic work, won him the prestigious Shincho Literary Prize. In the novel the narrator tells how he responds to the birth and problems posed by his handicapped child. Recipient of the 1994 Nobel prize.",Kenzaburō Ōe,1969,Grove Press,180.0,Family & Relationships
0449244741,The Covenant,,James Albert Michener,1982,Fawcett,1254.0,Fiction
